sample	chr	startpos	endpos	nMajor	nMinor
TumorSample-A	1	809641	873251	2	0
TumorSample-A	1	873548	108012428	1	1
TumorSample-A	1	108014486	108025998	3	3
TumorSample-A	1	108026243	248916508	1	1
TumorSample-A	2	12091	55789463	2	1
TumorSample-A	2	55793051	70882105	2	0
TumorSample-A	2	70883976	70945287	3	0
TumorSample-A	2	70946278	133028804	2	0
TumorSample-A	2	133028826	133200577	0	0
TumorSample-A	2	133201511	133334078	2	0
TumorSample-A	2	133341978	133472646	0	0
TumorSample-A	2	133472855	140688590	2	0
TumorSample-A	2	140690743	140821192	0	0
TumorSample-A	2	140824808	141132183	2	0
TumorSample-A	2	141133580	141348246	0	0
TumorSample-A	2	141348907	141459068	2	0
TumorSample-A	2	141459611	141628140	0	0
TumorSample-A	2	141629360	153532665	2	0
TumorSample-A	2	153534163	153915860	0	0
TumorSample-A	2	153917062	204570183	2	0
TumorSample-A	2	204572854	241917917	1	0
TumorSample-A	3	12690	60373585	1	0
TumorSample-A	3	60376576	60487150	0	0
TumorSample-A	3	60487237	60777795	1	0
TumorSample-A	3	60779095	74930638	1	1
TumorSample-A	3	74931394	83407907	1	0
TumorSample-A	3	83409421	86744109	1	1
TumorSample-A	3	86745283	86912824	2	1
TumorSample-A	3	86913238	182217390	1	1
TumorSample-A	3	182219540	190799231	2	1
TumorSample-A	3	190799281	190801052	4	2
TumorSample-A	3	190801330	198038561	2	1
TumorSample-A	4	72156	304200	1	0
TumorSample-A	4	309145	456517	2	0
TumorSample-A	4	457693	19497778	1	0
TumorSample-A	4	19502233	76037162	1	1
TumorSample-A	4	76037181	76053256	2	1
TumorSample-A	4	76053426	90731291	1	1
TumorSample-A	4	90731997	93370643	1	0
TumorSample-A	4	93373167	189659954	1	1
TumorSample-A	5	44922	45905895	1	1
TumorSample-A	5	45910184	50255101	1	0
TumorSample-A	5	50255340	55594531	2	1
TumorSample-A	5	55594974	55624717	3	1
TumorSample-A	5	55629379	58191783	4	1
TumorSample-A	5	58191838	104402189	1	0
TumorSample-A	5	104405734	104715491	2	0
TumorSample-A	5	104716699	104835789	0	0
TumorSample-A	5	104841510	135751092	2	0
TumorSample-A	5	135751154	135811626	5	0
TumorSample-A	5	135811847	140279209	2	0
TumorSample-A	5	140280343	141700366	3	0
TumorSample-A	5	141701049	181170660	2	0
TumorSample-A	6	149609	6725683	2	0
TumorSample-A	6	6725784	6951091	3	0
TumorSample-A	6	6952090	32668666	2	0
TumorSample-A	6	32669008	49193702	1	0
TumorSample-A	6	49195050	50409284	2	1
TumorSample-A	6	50411089	51208715	3	1
TumorSample-A	6	51209148	51644819	2	1
TumorSample-A	6	51647909	55882170	1	1
TumorSample-A	6	55885114	55905602	2	1
TumorSample-A	6	55905698	55919608	3	2
TumorSample-A	6	55919615	61295048	2	1
TumorSample-A	6	61297553	61523926	1	0
TumorSample-A	6	61525703	62834124	2	1
TumorSample-A	6	62835344	62885046	4	4
TumorSample-A	6	62886495	63139869	2	1
TumorSample-A	6	63145692	170606037	1	0
TumorSample-A	7	198402	7055835	2	1
TumorSample-A	7	7055907	7077161	4	3
TumorSample-A	7	7077662	57881173	2	1
TumorSample-A	7	57881679	62992442	1	0
TumorSample-A	7	62993318	111392647	2	1
TumorSample-A	7	111394854	111532578	2	0
TumorSample-A	7	111540388	159325753	2	1
TumorSample-A	8	211532	3483939	1	0
TumorSample-A	8	3485342	3817996	0	0
TumorSample-A	8	3818112	4013463	1	0
TumorSample-A	8	4013838	4227448	0	0
TumorSample-A	8	4227684	43571668	1	0
TumorSample-A	8	43574864	45973537	0	0
TumorSample-A	8	45974520	46292450	2	1
TumorSample-A	8	46292583	46545536	1	0
TumorSample-A	8	46545978	52960580	2	1
TumorSample-A	8	52961954	145074901	2	2
TumorSample-A	9	57539	42749761	2	0
TumorSample-A	9	42752012	43262484	2	1
TumorSample-A	9	61665482	63738524	2	2
TumorSample-A	9	63740526	63761267	4	0
TumorSample-A	9	64030959	64088601	2	0
TumorSample-A	9	64093264	65550814	3	0
TumorSample-A	9	66894601	89095423	2	0
TumorSample-A	9	89126910	101775173	4	0
TumorSample-A	9	101776269	105792849	3	0
TumorSample-A	9	105793313	105821137	9	1
TumorSample-A	9	105821263	105825883	6	0
TumorSample-A	9	105826073	138181722	3	0
TumorSample-A	10	48486	38997504	1	1
TumorSample-A	10	38997797	41837943	1	0
TumorSample-A	10	42322981	111429136	1	1
TumorSample-A	10	111429334	111433902	3	3
TumorSample-A	10	111433920	124226154	1	1
TumorSample-A	10	124226265	124230600	3	3
TumorSample-A	10	124231226	126560277	1	1
TumorSample-A	10	126560485	126567292	3	3
TumorSample-A	10	126569313	133621484	1	1
TumorSample-A	11	199813	48641743	1	1
TumorSample-A	11	48645260	48877697	1	0
TumorSample-A	11	48877743	48890108	1	1
TumorSample-A	11	48890588	48941872	1	0
TumorSample-A	11	48943051	50341459	1	1
TumorSample-A	11	50343115	54552611	1	0
TumorSample-A	11	54553185	54745249	1	1
TumorSample-A	11	54746214	55258684	1	0
TumorSample-A	11	55261918	65774583	1	1
TumorSample-A	11	65797315	82736498	2	1
TumorSample-A	11	82736712	83257122	3	2
TumorSample-A	11	83257376	83831616	2	2
TumorSample-A	11	83833125	84481728	6	2
TumorSample-A	11	84486441	84501479	1	0
TumorSample-A	11	84511394	84870672	2	0
TumorSample-A	11	84872989	84956537	1	0
TumorSample-A	11	84957209	135075414	2	0
TumorSample-A	12	175764	34409174	1	1
TumorSample-A	12	34409899	37412586	1	0
TumorSample-A	12	37414095	37444388	1	1
TumorSample-A	12	37446310	37596564	2	0
TumorSample-A	12	37596965	38046168	1	0
TumorSample-A	12	38046492	40052489	1	1
TumorSample-A	12	40066725	40495767	2	1
TumorSample-A	12	40495802	99464599	1	1
TumorSample-A	12	99472381	99768102	1	0
TumorSample-A	12	99768268	133120199	1	1
TumorSample-A	12	133122703	133248987	2	1
TumorSample-A	13	18455821	57417262	2	0
TumorSample-A	13	57417337	114343518	4	0
TumorSample-A	14	19784736	19957752	2	1
TumorSample-A	14	19958261	27017452	1	1
TumorSample-A	14	27018208	42648828	2	1
TumorSample-A	14	42649120	42665695	2	0
TumorSample-A	14	42665792	42671568	1	0
TumorSample-A	14	42674944	83639553	2	1
TumorSample-A	14	83644155	83812404	1	0
TumorSample-A	14	83818044	94662274	2	1
TumorSample-A	14	94662544	94671627	3	2
TumorSample-A	14	94671891	106882543	2	1
TumorSample-A	15	19790523	19838945	0	0
TumorSample-A	15	19848498	46858709	1	0
TumorSample-A	15	46859407	101888846	2	0
TumorSample-A	16	34170	10693382	1	1
TumorSample-A	16	10693668	10734536	3	2
TumorSample-A	16	10734621	58487186	1	1
TumorSample-A	16	58487526	78465573	2	1
TumorSample-A	16	78467227	82833162	1	0
TumorSample-A	16	82834150	82865956	0	0
TumorSample-A	16	82867271	90096867	1	0
TumorSample-A	17	153794	8187721	1	0
TumorSample-A	17	8187765	22735079	1	1
TumorSample-A	17	22736323	26712794	1	0
TumorSample-A	17	26716157	53747828	1	1
TumorSample-A	17	53748525	53844792	2	0
TumorSample-A	17	53845520	59849550	1	0
TumorSample-A	17	59851958	83204151	1	1
TumorSample-A	18	64775	72307127	2	1
TumorSample-A	18	72312333	72371587	1	1
TumorSample-A	18	72371889	80256731	2	1
TumorSample-A	19	274479	7799884	1	0
TumorSample-A	19	7800195	9539814	2	1
TumorSample-A	19	9539815	9571186	3	2
TumorSample-A	19	9572039	11035823	2	1
TumorSample-A	19	11036939	15018295	3	1
TumorSample-A	19	15019174	15687901	6	1
TumorSample-A	19	15688108	15688761	2	0
TumorSample-A	19	15688901	20386936	1	1
TumorSample-A	19	20387762	20651813	2	1
TumorSample-A	19	20652484	24198386	1	1
TumorSample-A	19	24199724	27637131	1	0
TumorSample-A	19	27638482	58533199	1	1
TumorSample-A	20	68303	14743617	1	1
TumorSample-A	20	14743954	15159463	0	0
TumorSample-A	20	15160142	15272069	1	0
TumorSample-A	20	15273829	15419522	1	1
TumorSample-A	20	15420086	15555362	1	0
TumorSample-A	20	15556853	25965205	1	1
